image_id,sun_azimuth_angle,label
train_00001.png,77.69,1
train_00002.png,75.97,1
train_00003.png,172.66,1
train_00004.png,150.14,1
train_00005.png,109.42,0
train_00006.png,303.84,0
train_00007.png,267.33,1
train_00008.png,356.73,1
train_00009.png,177.07,0
train_00010.png,326.32,0
train_00011.png,278.78,1
train_00012.png,286.2,0
train_00013.png,248.34,1
train_00014.png,153.4,1
train_00015.png,277.36,0
train_00016.png,283.31,0
train_00017.png,289.09,0
train_00018.png,354.6,0
train_00019.png,265.65,0
train_00020.png,106.18,0
train_00021.png,132.16,1
train_00022.png,276.76,0
train_00023.png,288.13,0
train_00024.png,320.0,1
train_00025.png,140.59,1
train_00026.png,289.84,0
train_00027.png,70.81,1
train_00028.png,331.15,0
train_00029.png,278.81,0
train_00030.png,277.01,1
train_00031.png,177.89,1
train_00032.png,184.36,1
train_00033.png,295.85,0
train_00034.png,6.6,1
train_00035.png,33.94,1
train_00036.png,312.04,0
train_00037.png,253.09,0
train_00038.png,344.03,0
train_00039.png,161.59,0
train_00040.png,256.77,0
train_00041.png,285.28,0
train_00042.png,30.84,1
train_00043.png,296.16,1
train_00044.png,19.58,1
train_00045.png,133.83,0
train_00046.png,282.61,0
train_00047.png,98.85,1
train_00048.png,46.78,1
train_00049.png,331.51,0
train_00050.png,123.83,0
train_00051.png,12.87,1
train_00052.png,337.04,0
train_00053.png,173.36,1
train_00054.png,272.23,0
train_00055.png,337.46,0
train_00056.png,100.94,1
train_00057.png,241.67,1
train_00058.png,335.58,1
train_00059.png,301.06,0
train_00060.png,324.35,1
train_00061.png,305.69,1
train_00062.png,325.45,0
train_00063.png,132.37,1
train_00064.png,70.21,1
train_00065.png,168.25,1
train_00066.png,348.43,0
train_00067.png,306.51,1
train_00068.png,346.16,0
train_00069.png,2.14,1
train_00070.png,312.47,0
train_00071.png,35.98,1
train_00072.png,80.61,1
train_00073.png,168.74,1
train_00074.png,167.76,1
train_00075.png,356.48,0
train_00076.png,305.99,0
train_00077.png,271.92,1
train_00078.png,280.1,0
train_00079.png,49.28,1
train_00080.png,195.93,1
train_00081.png,340.18,0
train_00082.png,287.59,1
train_00083.png,356.37,1
train_00084.png,183.38,1
train_00085.png,272.24,0
train_00086.png,296.83,0
train_00087.png,312.75,1
train_00088.png,316.56,0
train_00089.png,60.82,1
train_00090.png,98.57,1
train_00091.png,116.85,1
train_00092.png,67.23,1
train_00093.png,285.82,0
train_00094.png,213.46,1
train_00095.png,20.46,1
train_00096.png,167.16,0
train_00097.png,209.17,1
train_00098.png,23.82,1
train_00099.png,319.61,0
train_00100.png,321.88,0
train_00101.png,355.42,0
train_00102.png,324.53,0
train_00103.png,250.42,0
train_00104.png,170.92,0
train_00105.png,15.56,1
train_00106.png,277.6,0
train_00107.png,24.64,1
train_00108.png,271.23,0
train_00109.png,327.58,0
train_00110.png,182.36,1
train_00111.png,36.57,1
train_00112.png,9.98,1
train_00113.png,265.42,1
train_00114.png,359.15,0
train_00115.png,290.41,0
train_00116.png,292.25,1
train_00117.png,317.7,0
train_00118.png,27.52,1
train_00119.png,274.61,0
train_00120.png,300.77,0
train_00121.png,345.36,1
train_00122.png,200.83,1
train_00123.png,302.08,0
train_00124.png,215.05,1
train_00125.png,346.97,0
train_00126.png,272.05,1
train_00127.png,348.88,1
train_00128.png,343.01,1
train_00129.png,351.31,0
train_00130.png,346.34,0
train_00131.png,273.97,0
train_00132.png,332.88,0
train_00133.png,309.12,0
train_00134.png,271.19,0
train_00135.png,271.64,0
train_00136.png,164.85,1
train_00137.png,313.44,0
train_00138.png,320.09,0
train_00139.png,274.57,1
train_00140.png,86.26,1
train_00141.png,293.27,0
train_00142.png,35.0,1
train_00143.png,346.35,1
train_00144.png,335.75,0
train_00145.png,337.02,0
train_00146.png,314.64,1
train_00147.png,203.46,1
train_00148.png,212.16,1
train_00149.png,10.39,1
train_00150.png,82.8,0
train_00151.png,358.56,1
train_00152.png,289.95,0
train_00153.png,329.45,1
train_00154.png,195.37,1
train_00155.png,51.59,1
train_00156.png,305.45,0
train_00157.png,345.19,0
train_00158.png,293.06,1
train_00159.png,23.35,1
train_00160.png,82.83,1
train_00161.png,263.65,1
train_00162.png,309.93,1
train_00163.png,327.34,0
train_00164.png,81.77,1
train_00165.png,279.32,0
train_00166.png,137.35,1
train_00167.png,185.05,1
train_00168.png,251.73,1
train_00169.png,180.36,1
train_00170.png,327.23,0
train_00171.png,221.8,1
train_00172.png,209.23,1
train_00173.png,31.49,1
train_00174.png,94.61,1
train_00175.png,292.97,0
train_00176.png,274.78,0
train_00177.png,299.88,0
train_00178.png,64.33,1
train_00179.png,134.37,1
